Day,Acetic (7.64 W/m³),Isobutyric (7.64 W/m³),Butyric (7.64 W/m³),Isovaleric (7.64 W/m³),Valeric (7.64 W/m³),Caproic (7.64 W/m³),Ethanol (7.64 W/m³),Lactic (7.64 W/m³)
0.9,0.3314902,0.2120203,0.81964344,0,0,0,0,0.03585136
0.9,0.26994556,0.2114857,0.4810221,0.12814625,0,0,0,0.27732784
3.9,1.363912,0.1383643,1.4650568,0,0,0,0,0
3.9,1.0565889,0.1599859,1.2267001,0.10305615,0,0,0,0
