,Caloramator,Caproiciproducens,Clostridium_sensu_stricto_1,Clostridium_sensu_stricto_11,Clostridium_sensu_stricto_12,Lactobacillus,Leuconostoc,Mesotoga,Methanobacterium,Pseudomonas,Other/Uncultured/Unassigned,Check,Sample
S90,0.0292391382148737,0.024354019039438603,0.50808818266409,0.1770095197194185,0.06667382435044,0.0030062271848829,0.000411566816978,0.011165986686708,0.0287738887695936,0.0523584568033783,0.09891918975019856,1.0,Day 0
S77,0.0014110023342507,0.003274918998014,0.5112183395463886,0.1365014110023339,0.0561787966414659,0.012803539699682901,0.2684736787095427,0.0009580880047381,0.0013239034247290002,0.001741978190433,0.006114343448421193,1.0,Day 2
S81,0.0010346165452429,0.0016094035148222,0.3159747668520352,0.044373554051529096,0.0451926254831802,0.12587834633788847,0.4499001307640355,0.0001580664166343,0.0023278872267965,0.0,0.013550602807835491,1.0,Day 2
S93,0.0020241276010039,0.0228321593393244,0.3349323941381263,0.41441988502955146,0.08193668528864041,0.0365759857501416,0.09499230831511621,0.0018014735648935,0.0018824386689336,0.0007691684883815,0.007833373815887223,1.0,Day 4
S86,0.0021890643359569,0.0068891142337469,0.1691052199526773,0.3593284723228226,0.0652534324850708,0.16005923350556112,0.22056432790896088,0.0002092487968194,0.0018188549261994999,0.0002092487968194,0.014373782735365355,1.0,Day 4
S78,0.0221736414740787,0.1352904434728293,0.3874453466583382,0.3288986050385171,0.0791172184051633,0.0208203206329377,0.0048511347074743005,0.0011867582760774,0.0042473454091192,0.0,0.015969185925464813,1.0,Day 8
S79,0.0272614161822875,0.049081691396311404,0.18384742520752417,0.3072666159074446,0.06568367100596101,0.1056472729298593,0.2165871232520567,0.0,0.0033983917992904,0.00141135397129,0.039815038347974896,1.0,Day 8
