,Unnamed: 0,Hour,Day,Glucose (0.37 W/m³),Acetic (0.37 W/m³),Isobutyric (0.37 W/m³),Butyric (0.37 W/m³),Isovaleric (0.37 W/m³),Caproic (0.37 W/m³),Lactic (0.37 W/m³),Glucose (67.92 W/m³),Acetic (67.92 W/m³),Isobutyric (67.92 W/m³),Butyric (67.92 W/m³),Isovaleric (67.92 W/m³),Valeric (67.92 W/m³),Caproic (67.92 W/m³),Lactic (67.92 W/m³),Total (0.37 W/m³),Total (67.92 W/m³)
0,0,0.0,0.0,1.0,0.006935181748691081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006935181748691081,0.0
1,1,9.75,0.40625,0.6922548127157705,0.00891869238193474,0.0,0.0,0.0,0.0,0.022731038032579514,0.9591552705332023,0.013562292225725404,0.0,0.0010506145105579445,0.0,0.0,0.0,0.0,0.00891869238193474,0.014612906736283349
2,2,21.0,0.875,0.24475754309514391,0.028705223907599442,0.0,0.05025163411296595,0.0,0.0,0.025905662972114954,0.2682793283568786,0.04302624726959641,0.0,0.12774465339123664,0.0,0.0,0.0,0.0012501077936413693,0.0789568580205654,0.17077090066083306
3,3,34.0,1.416666667,0.0,0.03861940486407845,0.007227673894488362,0.20271364176459236,0.0,0.0,0.005446795978341625,0.0,0.044781154850930226,0.0010951202793472146,0.14232488872446405,0.0,0.0,0.0,0.0,0.24856072052315917,0.1882011638547415
4,4,65.5,2.729166667,0.0,0.11164646238647208,0.0003993757615476124,0.12190804373183882,0.004452194086490813,0.0014085329650984284,0.0008110241044897358,0.0,0.04497053106302227,0.00709141219287375,0.22472685489509828,0.0,0.04528456006253345,0.0022603595921666885,0.004632774678070701,0.23981460893144776,0.3243337178056944
5,5,113.0,4.708333333,0.0,0.13523881807492,0.0008388713709652027,0.11797028106360427,0.0031698042735858246,0.004069359291041516,0.0014418296800386777,0.0,0.08491472380794209,0.002532468356518274,0.19350852334847965,0.0026718361401247676,0.09119826516265664,0.01857968281140262,0.0010822637319694633,0.26128713407411686,0.393405499627124
